Refactoring Type,Source File,Model,Split,Pos Train,Neg Train,Accuracy,TN,TP,FN,FP,Model Params,Approach,Type Split,Type File,metric
Move Attribute,count_single,RandomForest,0.2,6,122,0.5,100,0,100,0,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,False,True,TP
Move Class,count_single,LogisticRegression,0.2,14,114,0.607,96,25,75,4,"[""{'C': 0.1, 'max"", ""iter': 100}""]",count,False,True,Accuracy
Move Class,count_single,SVM,0.2,14,114,0.5,100,0,100,0,"[""{'C': 10, 'kernel': 'rbf'}""]",count,False,True,TN
Move Class,count_single,LogisticRegression,0.2,14,114,0.607,96,25,75,4,"[""{'C': 0.1, 'max"", ""iter': 100}""]",count,False,True,TP
Extract Method,count_smote_single,RandomForest,0.3,69,69,0.809,79,83,17,21,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,False,True,Accuracy
Extract Method,count_smote_single,RandomForest,0.3,69,69,0.809,79,83,17,21,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,False,True,TN
Extract Method,count_smote_single,SVM,0.3,69,69,0.623,32,93,7,68,"[""{'C': 0.1, 'kernel': 'linear'}""]",count,False,True,TP
Inline Method,count_smote_single,RandomForest,0.5,73,73,0.795,88,71,29,12,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,False,True,Accuracy
Inline Method,count_smote_single,RandomForest,0.4,88,88,0.724,95,50,50,5,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 2, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 100}""]",count,False,True,TN
Inline Method,count_smote_single,RandomForest,0.5,73,73,0.795,88,71,29,12,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,False,True,TP
Move Class,count_smote_single,SVM,0.2,114,114,0.804,86,75,25,14,"[""{'C': 1, 'kernel': 'linear'}""]",count,False,True,Accuracy
Move Class,count_smote_single,SVM,0.4,85,85,0.733,89,57,43,11,"[""{'C': 0.1, 'kernel': 'linear'}""]",count,False,True,TN
Move Class,count_smote_single,SVM,0.2,114,114,0.804,86,75,25,14,"[""{'C': 1, 'kernel': 'linear'}""]",count,False,True,TP
Extract Method,count_split,RandomForest,0.4,64,37,0.619,45,79,21,55,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 100}""]",count,True,False,Accuracy
Extract Method,count_split,RandomForest,0.5,53,37,0.611,50,72,28,50,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 10, 'n"", ""estimators': 200}""]",count,True,False,TN
Extract Method,count_split,SVM,0.2,85,37,0.526,5,100,0,95,"[""{'C': 0.1, 'kernel': 'linear'}""]",count,True,False,TP
Extract Superclass,count_split,LogisticRegression,0.4,4,8,0.523,80,25,75,20,"[""{'C': 10, 'max"", ""iter': 100}""]",count,True,False,Accuracy
Extract Superclass,count_split,LogisticRegression,0.4,4,8,0.523,80,25,75,20,"[""{'C': 10, 'max"", ""iter': 100}""]",count,True,False,TN
Extract Superclass,count_split,RandomForest,0.4,4,8,0.511,77,25,75,23,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,True,False,TP
Inline Method,count_split,RandomForest,0.4,9,18,0.786,86,71,29,14,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,True,False,Accuracy
Inline Method,count_split,RandomForest,0.3,11,22,0.741,88,60,40,12,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,True,False,TN
Inline Method,count_split,RandomForest,0.4,9,18,0.786,86,71,29,14,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 200}""]",count,True,False,TP
Move Attribute,count_split,LogisticRegression,0.3,8,16,0.688,88,50,50,12,"[""{'C': 0.1, 'max"", ""iter': 100}""]",count,True,False,Accuracy
Move Attribute,count_split,RandomForest,0.5,6,12,0.645,96,33,67,4,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,True,False,TN
Move Attribute,count_split,RandomForest,0.3,8,16,0.64,78,50,50,22,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,True,False,TP
Move Class,count_split,RandomForest,0.2,21,42,0.745,82,67,33,18,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 200}""]",count,True,False,Accuracy
Move Class,count_split,SVM,0.2,21,42,0.622,91,33,67,9,"[""{'C': 0.1, 'kernel': 'linear'}""]",count,True,False,TN
Move Class,count_split,RandomForest,0.2,21,42,0.745,82,67,33,18,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 5, 'n"", ""estimators': 200}""]",count,True,False,TP
Move Method,count_split,RandomForest,0.2,8,16,0.708,92,50,50,8,"[""{'max"", ""depth': None, 'min"", 'samples', ""leaf': 1, 'min"", 'samples', ""split': 2, 'n"", ""estimators': 100}""]",count,True,False,Accuracy
